Country,Advisory Date,Advisory Year,GPI Score,GTI Score
Burma (Myanmar),2024-06-06,2024,,
Afghanistan,2025-01-13,2025,3.294,7.262
Belarus,2024-12-18,2024,2.291,0.233
South Sudan,2025-03-08,2025,3.324,0.0
Haiti,2024-09-18,2024,2.827,0.0
Iran,2025-03-31,2025,2.682,6.056
Iraq,2024-11-22,2024,3.045,6.582
North Korea (Democratic People's Republic of Korea),2023-07-24,2023,,
Lebanon,2024-12-27,2024,2.693,1.237
Libya,2024-08-01,2024,2.528,1.612
Mali,2023-07-31,2023,3.053,8.005
Russia,2024-06-27,2024,3.134,6.267
Somalia,2024-07-23,2024,3.091,7.614
Sudan,2023-04-22,2023,3.193,0.0
Syria,2025-03-03,2025,3.173,8.006
Ukraine,2024-11-14,2024,3.28,2.003
Venezuela,2024-09-24,2024,2.821,0.71
Yemen,2025-03-31,2025,3.397,5.08
Burkina Faso,2023-07-31,2023,2.887,8.58
Central African Republic,2024-12-26,2024,3.009,0.957
Democratic Republic of the Congo,2025-01-29,2025,3.264,6.768
